time,close,high,low,open,volumefrom,volumeto
1537837200,6458.14,6523.06,6430.73,6523.06,5475.08,35382600.91
1537833600,6523.07,6583.54,6513.04,6583.53,4693.6,30677502.53
1537830000,6583.53,6601.13,6557.82,6600.86,3293.23,21679689.04
1537826400,6600.86,6621.06,6583.61,6620.82,1671.21,11054460.94
1537822800,6620.78,6633.31,6616.51,6629.68,1088.93,7234656.64
1537819200,6629.67,6636.09,6622.4,6624.21,1512.52,10037861.0
1537815600,6624.21,6641.81,6624.21,6641.46,1475.51,9810330.86
1537812000,6641.65,6657.14,6639.32,6641.74,1840.59,12254402.59
1537808400,6641.74,6644.52,6608.46,6609.93,2068.8,13732429.37
1537804800,6609.93,6615.02,6594.96,6603.96,1908.21,12625727.84
1537801200,6603.96,6615.32,6596.03,6610.56,1536.82,10175990.49
1537797600,6610.56,6624.21,6593.69,6617.8,1978.37,13094523.28
1537794000,6617.8,6625.56,6604.47,6625.52,3930.3,26001976.17
1537790400,6625.52,6632.27,6579.75,6580.69,1827.66,12096174.89
1537786800,6580.69,6610.61,6578.37,6610.61,3465.91,22891674.38
1537783200,6610.1,6615.35,6595.61,6599.35,3664.07,24240450.63
1537779600,6599.35,6639.31,6577.71,6639.06,4783.34,31610914.53
1537776000,6639.06,6673.78,6631.75,6671.97,1488.02,9909718.58
1537772400,6671.97,6680.07,6639.71,6645.91,3450.39,23036956.62
1537768800,6645.91,6687.51,6627.11,6687.49,3295.18,21921011.58
1537765200,6687.49,6692.9,6675.31,6691.03,1178.7,7891865.08
1537761600,6691.03,6705.45,6686.34,6703.62,938.39,6296242.45
1537758000,6703.62,6711.73,6698.34,6699.81,530.43,3568793.73
1537754400,6699.81,6714.61,6699.4,6713.63,784.89,5279036.81
1537750800,6713.63,6717.6,6691.49,6692.6,598.76,4027407.44
1537837200,6458.14,6523.06,6430.73,6523.06,5475.08,35382600.91
1537833600,6523.07,6583.54,6513.04,6583.53,4693.6,30677502.53
1537830000,6583.53,6601.13,6557.82,6600.86,3293.23,21679689.04
1537826400,6600.86,6621.06,6583.61,6620.82,1671.21,11054460.94
1537822800,6620.78,6633.31,6616.51,6629.68,1088.93,7234656.64
1537819200,6629.67,6636.09,6622.4,6624.21,1512.52,10037861.0
1537815600,6624.21,6641.81,6624.21,6641.46,1475.51,9810330.86
1537812000,6641.65,6657.14,6639.32,6641.74,1840.59,12254402.59
1537808400,6641.74,6644.52,6608.46,6609.93,2068.8,13732429.37
1537804800,6609.93,6615.02,6594.96,6603.96,1908.21,12625727.84
1537801200,6603.96,6615.32,6596.03,6610.56,1536.82,10175990.49
1537797600,6610.56,6624.21,6593.69,6617.8,1978.37,13094523.28
1537794000,6617.8,6625.56,6604.47,6625.52,3930.3,26001976.17
1537790400,6625.52,6632.27,6579.75,6580.69,1827.66,12096174.89
1537786800,6580.69,6610.61,6578.37,6610.61,3465.91,22891674.38
1537783200,6610.1,6615.35,6595.61,6599.35,3664.07,24240450.63
1537779600,6599.35,6639.31,6577.71,6639.06,4783.34,31610914.53
1537776000,6639.06,6673.78,6631.75,6671.97,1488.02,9909718.58
1537772400,6671.97,6680.07,6639.71,6645.91,3450.39,23036956.62
1537768800,6645.91,6687.51,6627.11,6687.49,3295.18,21921011.58
1537765200,6687.49,6692.9,6675.31,6691.03,1178.7,7891865.08
1537761600,6691.03,6705.45,6686.34,6703.62,938.39,6296242.45
1537758000,6703.62,6711.73,6698.34,6699.81,530.43,3568793.73
1537754400,6699.81,6714.61,6699.4,6713.63,784.89,5279036.81
1537750800,6713.63,6717.6,6691.49,6692.6,598.76,4027407.44
1537750800,6713.63,6717.6,6691.49,6692.6,598.76,4027407.44
1537747200,6692.5,6703.22,6683.7,6702.73,623.88,4188387.71
1537743600,6702.7,6711.49,6700.98,6711.49,711.13,4779231.35
1537740000,6711.49,6717.71,6674.49,6680.28,1238.8,8307345.25
1537736400,6680.28,6683.85,6669.91,6677.64,695.47,4658490.55
1537732800,6677.7,6692.12,6675.46,6683.5,744.66,4986418.9
1537729200,6683.5,6700.53,6678.53,6700.04,978.93,6563008.61
1537725600,6700.04,6700.05,6678.25,6681.46,1083.24,7262097.2
1537722000,6681.46,6697.51,6680.92,6687.52,989.2,6632512.01
1537718400,6687.52,6696.79,6668.86,6681.51,1151.81,7714406.21
1537714800,6681.51,6699.35,6663.9,6687.26,1339.84,8966933.37
1537711200,6687.07,6738.88,6665.68,6725.72,2235.43,15003961.09
1537707600,6725.72,6731.73,6720.58,6731.73,985.28,6640609.17
1537704000,6731.73,6740.93,6717.88,6740.48,882.91,5954582.91
1537700400,6740.48,6759.53,6740.22,6754.8,997.51,6755401.23
1537696800,6754.91,6764.42,6741.69,6764.18,1053.34,7126953.06
1537693200,6764.34,6768.56,6719.34,6722.21,2708.07,18309676.2
1537689600,6722.21,6731.14,6709.84,6712.43,861.79,5799357.48
1537686000,6712.12,6716.19,6696.11,6696.11,553.66,3727235.17
1537682400,6696.11,6718.48,6696.11,6718.4,1077.84,7243097.55
1537678800,6718.42,6725.83,6714.82,6723.25,693.44,4673669.27
1537675200,6723.25,6726.69,6705.18,6705.37,956.64,6444896.82
1537671600,6705.37,6706.66,6691.39,6691.91,772.08,5190206.38
1537668000,6691.91,6700.88,6686.8,6687.01,668.63,4489899.77
1537664400,6687.01,6704.83,6682.6,6704.5,945.17,6341412.07
1537664400,6687.01,6704.83,6682.6,6704.5,945.17,6341412.07
1537660800,6704.44,6724.19,6700.94,6716.6,818.97,5508601.75
1537657200,6716.6,6721.88,6691.0,6701.78,824.45,5539336.73
1537653600,6702.46,6708.03,6689.78,6695.76,731.02,4908536.77
1537650000,6695.76,6718.85,6691.99,6717.68,1207.53,8112580.92
1537646400,6717.68,6729.32,6711.38,6721.39,1063.4,7166192.9
1537642800,6721.32,6733.25,6712.88,6733.07,771.03,5198167.8
1537639200,6733.06,6746.68,6638.41,6678.45,4532.29,30359028.17
1537635600,6678.44,6682.46,6664.73,6665.28,820.66,5490246.78
1537632000,6665.28,6686.21,6664.99,6682.26,962.8,6442012.25
1537628400,6682.26,6684.87,6651.57,6669.46,1181.56,7890556.66
1537624800,6669.36,6689.42,6656.7,6688.72,1073.71,7179685.44
1537621200,6688.72,6699.81,6671.18,6684.55,1095.52,7333709.96
1537617600,6684.55,6701.11,6660.35,6662.39,1888.71,12642134.11
1537614000,6662.64,6698.98,6662.44,6690.4,1135.23,7591698.17
1537610400,6690.5,6714.37,6687.93,6690.05,887.05,5958345.63
1537606800,6690.05,6693.91,6641.25,6647.97,1879.52,12559243.34
1537603200,6647.97,6719.56,6633.01,6719.56,3509.12,23406726.12
1537599600,6719.54,6723.97,6712.28,6723.68,753.97,5075208.5
1537596000,6723.68,6738.53,6704.5,6738.53,952.84,6416728.01
1537592400,6738.64,6749.12,6724.36,6747.01,798.17,5388361.6
1537588800,6747.01,6755.91,6733.32,6736.87,1244.53,8398236.39
1537585200,6736.87,6754.45,6719.42,6742.39,1466.2,9865128.52
1537581600,6742.39,6780.92,6742.03,6769.35,1896.95,12813450.21
1537578000,6769.23,6808.87,6755.34,6803.86,2629.48,17810424.18
1537578000,6769.23,6808.87,6755.34,6803.86,2629.48,17810424.18
