time,close,high,low,open,volumefrom,volumeto
1537830000,228.35,229.18,228.35,229.18,0.0,0.0
1537826400,229.18,233.31,227.4,233.14,53815.6,12377969.7
1537822800,233.14,234.49,232.35,234.49,27319.47,6370903.16
1537819200,234.49,235.03,233.61,233.76,17268.02,4038066.7
1537815600,233.76,235.24,233.47,235.24,16072.38,3767956.1
1537812000,235.24,236.96,234.94,236.03,15002.01,3537168.91
1537808400,236.01,236.89,233.95,233.97,30219.83,7124927.42
1537804800,233.97,234.93,232.83,232.84,20334.31,4756723.17
1537801200,232.82,233.94,231.03,233.94,26381.44,6131364.66
1537797600,233.94,235.18,233.06,234.75,27294.19,6394900.53
1537794000,234.75,235.17,233.25,235.17,28320.98,6631426.1
1537790400,235.17,235.89,232.66,232.96,28768.09,6748376.63
1537786800,232.96,234.3,231.42,234.17,38760.54,9030416.06
1537783200,234.17,234.96,231.58,231.58,25397.21,5930947.74
1537779600,231.58,233.82,229.55,233.82,56533.64,13128283.61
1537776000,233.82,235.74,230.22,235.71,37683.44,8787529.94
1537772400,235.71,237.25,233.03,234.06,44940.85,10585294.02
1537768800,234.07,239.99,231.43,239.99,69293.61,16311780.5
1537765200,239.98,243.07,238.42,243.07,50166.25,12061084.37
1537761600,243.06,244.99,242.26,244.76,21169.85,5152262.77
1537758000,244.95,245.79,244.51,244.7,7905.49,1938460.48
1537754400,244.7,245.69,244.42,244.98,9440.73,2313321.9
1537750800,244.98,245.67,243.07,243.09,12533.96,3065547.54
1537747200,243.09,245.21,242.72,244.55,22285.79,5436741.11
1537743600,244.55,245.47,243.91,244.62,14176.45,3466958.74
1537830000,228.35,229.18,228.35,229.18,0.0,0.0
1537826400,229.18,233.31,227.4,233.14,53815.6,12377969.7
1537822800,233.14,234.49,232.35,234.49,27319.47,6370903.16
1537819200,234.49,235.03,233.61,233.76,17268.02,4038066.7
1537815600,233.76,235.24,233.47,235.24,16072.38,3767956.1
1537812000,235.24,236.96,234.94,236.03,15002.01,3537168.91
1537808400,236.01,236.89,233.95,233.97,30219.83,7124927.42
1537804800,233.97,234.93,232.83,232.84,20334.31,4756723.17
1537801200,232.82,233.94,231.03,233.94,26381.44,6131364.66
1537797600,233.94,235.18,233.06,234.75,27294.19,6394900.53
