date,btc,crypto,cryptocurrency,isPartial
2017-02-20 00:00:00,47,10,4,False
2017-02-20 01:00:00,46,8,4,False
2017-02-20 02:00:00,53,10,4,False
2017-02-20 03:00:00,59,9,4,False
2017-02-20 04:00:00,63,10,4,False
2017-02-20 05:00:00,65,12,6,False
2017-02-20 06:00:00,68,14,5,False
2017-02-20 07:00:00,68,14,5,False
2017-02-20 08:00:00,68,17,5,False
2017-02-20 09:00:00,62,17,5,False
2017-02-20 10:00:00,64,16,5,False
2017-02-20 11:00:00,57,15,5,False
2017-02-20 12:00:00,58,14,5,False
2017-02-20 13:00:00,54,13,3,False
2017-02-20 14:00:00,52,12,4,False
2017-02-20 15:00:00,54,12,4,False
2017-02-20 16:00:00,55,12,4,False
2017-02-20 17:00:00,51,12,3,False
2017-02-20 18:00:00,46,12,4,False
2017-02-20 19:00:00,47,12,4,False
2017-02-20 20:00:00,44,11,4,False
2017-02-20 21:00:00,44,10,3,False
2017-02-20 22:00:00,44,11,5,False
2017-02-20 23:00:00,48,10,4,False
2017-02-21 00:00:00,50,10,4,False
2017-02-21 01:00:00,54,10,4,False
2017-02-21 02:00:00,59,10,4,False
2017-02-21 03:00:00,58,9,4,False
2017-02-21 04:00:00,65,10,4,False
2017-02-21 05:00:00,70,10,6,False
2017-02-21 06:00:00,80,11,6,False
2017-02-21 07:00:00,75,15,5,False
2017-02-21 08:00:00,71,18,6,False
2017-02-21 09:00:00,68,17,6,False
2017-02-21 10:00:00,66,16,6,False
2017-02-21 11:00:00,70,14,5,False
2017-02-21 12:00:00,66,15,5,False
2017-02-21 13:00:00,67,13,5,False
2017-02-21 14:00:00,65,15,4,False
2017-02-21 15:00:00,62,13,4,False
2017-02-21 16:00:00,60,14,5,False
2017-02-21 17:00:00,57,12,4,False
2017-02-21 18:00:00,58,11,4,False
2017-02-21 19:00:00,51,12,4,False
2017-02-21 20:00:00,54,12,4,False
2017-02-21 21:00:00,52,12,4,False
2017-02-21 22:00:00,56,12,5,False
2017-02-21 23:00:00,59,11,4,False
2017-02-22 00:00:00,56,9,4,False
2017-02-22 01:00:00,60,10,3,False
2017-02-22 02:00:00,66,9,5,False
2017-02-22 03:00:00,68,10,5,False
2017-02-22 04:00:00,78,9,5,False
2017-02-22 05:00:00,74,10,6,False
2017-02-22 06:00:00,74,13,6,False
2017-02-22 07:00:00,75,16,6,False
2017-02-22 08:00:00,75,17,6,False
2017-02-22 09:00:00,68,18,5,False
2017-02-22 10:00:00,69,17,6,False
2017-02-22 11:00:00,64,15,5,False
2017-02-22 12:00:00,63,14,5,False
2017-02-22 13:00:00,59,13,4,False
2017-02-22 14:00:00,63,14,5,False
2017-02-22 15:00:00,65,13,5,False
2017-02-22 16:00:00,61,13,4,False
2017-02-22 17:00:00,62,12,4,False
2017-02-22 18:00:00,57,12,3,False
2017-02-22 19:00:00,54,14,4,False
2017-02-22 20:00:00,54,13,4,False
2017-02-22 21:00:00,53,12,4,False
2017-02-22 22:00:00,50,12,5,False
2017-02-22 23:00:00,51,10,5,False
2017-02-23 00:00:00,55,9,5,False
2017-02-23 01:00:00,58,10,5,False
2017-02-23 02:00:00,64,10,4,False
2017-02-23 03:00:00,68,10,5,False
2017-02-23 04:00:00,70,11,5,False
2017-02-23 05:00:00,70,10,5,False
2017-02-23 06:00:00,72,11,6,False
2017-02-23 07:00:00,75,13,6,False
2017-02-23 08:00:00,74,15,5,False
2017-02-23 09:00:00,71,18,5,False
2017-02-23 10:00:00,67,18,5,False
2017-02-23 11:00:00,66,15,4,False
2017-02-23 12:00:00,68,15,4,False
2017-02-23 13:00:00,67,13,6,False
2017-02-23 14:00:00,62,13,5,False
2017-02-23 15:00:00,65,14,6,False
2017-02-23 16:00:00,64,12,4,False
2017-02-23 17:00:00,62,13,5,False
2017-02-23 18:00:00,64,12,4,False
2017-02-23 19:00:00,61,13,5,False
2017-02-23 20:00:00,55,12,4,False
