date,Ethereum,eth,bitcoin,blockchain,buy ethereum,isPartial
2017-02-20 00:00:00,3,3,53,7,0,False
2017-02-20 01:00:00,3,2,50,8,0,False
2017-02-20 02:00:00,3,3,52,8,0,False
2017-02-20 03:00:00,3,3,53,7,0,False
2017-02-20 04:00:00,3,3,51,8,0,False
2017-02-20 05:00:00,3,4,51,10,0,False
2017-02-20 06:00:00,3,6,50,9,0,False
2017-02-20 07:00:00,3,9,46,10,0,False
2017-02-20 08:00:00,3,13,45,12,0,False
2017-02-20 09:00:00,4,13,45,13,0,False
2017-02-20 10:00:00,3,12,43,12,0,False
2017-02-20 11:00:00,3,10,44,10,0,False
2017-02-20 12:00:00,2,10,45,11,0,False
2017-02-20 13:00:00,3,10,44,10,0,False
2017-02-20 14:00:00,3,9,47,11,0,False
2017-02-20 15:00:00,3,8,47,10,0,False
2017-02-20 16:00:00,3,8,48,10,0,False
2017-02-20 17:00:00,3,6,49,9,0,False
2017-02-20 18:00:00,3,5,49,9,0,False
2017-02-20 19:00:00,3,5,48,8,0,False
2017-02-20 20:00:00,3,6,48,8,0,False
2017-02-20 21:00:00,3,7,51,9,0,False
2017-02-20 22:00:00,3,6,54,9,0,False
2017-02-20 23:00:00,3,4,64,8,0,False
2017-02-21 00:00:00,4,3,62,8,0,False
2017-02-21 01:00:00,3,3,60,8,0,False
2017-02-21 02:00:00,3,3,60,9,0,False
2017-02-21 03:00:00,4,3,61,8,0,False
2017-02-21 04:00:00,4,3,62,9,0,False
2017-02-21 05:00:00,4,4,58,10,0,False
2017-02-21 06:00:00,4,7,61,12,0,False
2017-02-21 07:00:00,4,10,59,13,0,False
2017-02-21 08:00:00,4,12,54,14,0,False
2017-02-21 09:00:00,4,13,53,14,0,False
2017-02-21 10:00:00,3,11,53,13,0,False
2017-02-21 11:00:00,3,10,58,12,0,False
2017-02-21 12:00:00,3,10,59,11,0,False
2017-02-21 13:00:00,3,10,57,11,0,False
2017-02-21 14:00:00,3,9,57,11,0,False
2017-02-21 15:00:00,3,8,57,11,0,False
2017-02-21 16:00:00,3,7,60,11,0,False
2017-02-21 17:00:00,3,6,58,10,0,False
2017-02-21 18:00:00,3,6,61,10,0,False
2017-02-21 19:00:00,4,6,60,9,0,False
2017-02-21 20:00:00,3,6,60,10,0,False
2017-02-21 21:00:00,3,6,63,11,0,False
2017-02-21 22:00:00,4,5,67,11,0,False
2017-02-21 23:00:00,4,4,74,9,0,False
2017-02-22 00:00:00,3,3,71,9,0,False
2017-02-22 01:00:00,4,3,65,9,0,False
2017-02-22 02:00:00,3,3,67,10,0,False
